RequiredAge,DemoCount,DeveloperCount,DLCCount,Metacritic,MovieCount,PackageCount,PublisherCount,ScreenshotCount,SteamSpyOwners,SteamSpyOwnersVariance,SteamSpyPlayersEstimate,SteamSpyPlayersVariance,AchievementCount,AchievementHighlightedCount,ControllerSupport,IsFree,FreeVerAvail,PurchaseAvail,SubscriptionAvail,PlatformLinux,PlatformMac,PCReqsHaveMin,PCReqsHaveRec,LinuxReqsHaveMin,LinuxReqsHaveRec,MacReqsHaveMin,MacReqsHaveRec,CategorySinglePlayer,CategoryMultiplayer,CategoryCoop,CategoryMMO,CategoryInAppPurchase,CategoryIncludeSrcSDK,CategoryIncludeLevelEditor,CategoryVRSupport,GenreIsNonGame,GenreIsIndie,GenreIsAction,GenreIsAdventure,GenreIsCasual,GenreIsStrategy,GenreIsRPG,GenreIsSimulation,GenreIsEarlyAccess,GenreIsFreeToPlay,GenreIsSports,GenreIsRacing,GenreIsMassivelyMultiplayer,PriceInitial,PriceFinal,release_year,release_month,game_age_days,discount_ratio,is_effectively_free,has_metacritic,num_languages,has_website,has_support_email,has_support_url,has_legal_notice,has_reviews_text,about_length,short_length,detail_length,has_pc_min_reqs,has_pc_rec_reqs,has_linux_min_reqs,has_mac_min_reqs,has_drm,has_ext_account,platform_count,genre_count,category_count,price_tier,SteamSpyOwners_log,SteamSpyOwnersVariance_log,SteamSpyPlayersEstimate_log,SteamSpyPlayersVariance_log,price_per_language,metacritic_x_age,owners_per_achievement,dlc_x_owners,movie_x_owners,owners_tier,achievement_tier,players_tier,GamePopularity,GamePopularity_enc
-0.22737717908284324,-0.31293391578141166,0.02224219129149193,-0.3547865629645731,0,-0.2869518977225565,0.08260447921141141,0.12086454679668665,-0.8289074824600079,-0.03527825413867774,0.1673422764824167,0.03403510792327046,0.2836302581453394,-0.07676607936250375,1.20822920376483,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,-0.9944641435281301,-0.9707799848291399,0.8211125772548131,1.0216994300044167,-0.9860082435627865,0.0,0,0,-1.06975412291766,0,1,1,0,0,-0.7133503502171176,-0.1798380305655645,-0.7309668899951272,1,0,0,1,0,0,0.5222534346119526,0.4698699410379254,-0.41190693789671395,-0.4570053933815672,-0.0454584225406755,-0.10830098348279922,0.015738896378029887,0.04351702606978349,-0.7004345874441024,-0.4416548854687687,-0.6950626426442339,-0.3226364784538001,-0.2711654585650834,0.22439460964845104,0.3803117388483706,0.4154986169626365,Low,1
-0.22737717908284324,-0.31293391578141166,0.02224219129149193,-0.3547865629645731,0,-0.2869518977225565,1.141804533070924,0.12086454679668665,-0.4279584632847777,0.24831994691530507,0.349360357752369,0.31333245933845305,0.4004258176938914,-0.6975224932551128,-0.8625063913611828,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.10462798369191428,-0.07691532405212573,0.8211125772548131,-1.9012975572003112,-0.48915220815838417,0.0,0,0,0.048528672779712526,1,1,1,1,0,-0.3687088289664139,-0.353262973845484,-0.39903085050079473,1,1,0,0,0,0,-0.7072548456289363,-1.0332175287964238,-0.41190693789671395,0.5681536186854794,0.24297934992518658,0.20678832711563658,0.30419931101017583,0.2562376455218614,-0.31109125751943106,-0.4416548854687687,1.037318550360183,-0.3226364784538001,-0.1290893269195852,0.22439460964845104,-0.8084486765782413,0.4154986169626365,Low,1
-0.22737717908284324,-0.31293391578141166,0.02224219129149193,-0.3547865629645731,55,0.9303994871989593,0.08260447921141141,0.12086454679668665,1.1758376134161428,0.8110150923861634,0.7102070936264503,0.8191380061970416,0.717051789017869,1.5372005967582798,1.20822920376483,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1.0818202294230401,-0.5610920153063417,-1.0582477933432342,1.6712543160499118,0.8683294600000722,0.750500333505637,0,1,0.048528672779712526,1,1,1,1,1,-0.16911427888956743,2.7053223894549143,-0.20679451108141514,1,0,0,0,0,0,-0.7072548456289363,0.4698699410379254,-0.41190693789671395,-0.4570053933815672,0.8152768247814335,0.831445770183792,0.826599101164922,0.8329108770641421,-0.6258588749958445,1.9458155672247301,-0.7770693040846363,-0.3226364784538001,1.4490149808929622,1.1569769649349004,1.5690721542749826,0.4154986169626365,Medium,2
-0.22737717908284324,-0.31293391578141166,0.02224219129149193,-0.3547865629645731,0,-0.2869518977225565,1.141804533070924,0.12086454679668665,-0.6284329728723927,-0.20882010105722865,0.05609213629221307,-0.059551696788834166,0.22507618002669352,-0.6975224932551128,-0.8625063913611828,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,1.0818202294230401,1.1149042236505597,0.8211125772548131,0.6969219869816691,-0.9558419842703764,0.0,0,0,0.048528672779712526,1,1,1,0,1,0.40239558188947727,0.4665640307504991,0.34364618750451026,1,1,1,1,0,0,1.7517617148528415,2.7245011457894495,2.1063800949375033,0.5681536186854794,-0.22196174156303528,-0.30088476269823966,-0.08091826257662486,-0.06312795099088872,0.46372133934558635,-0.4416548854687687,0.6130005996439823,-0.3226364784538001,-0.35810590528572267,-0.7081877456379982,-0.8084486765782413,-0.5561371449692946,Low,1
-0.22737717908284324,-0.31293391578141166,3.477787092916468,4.26356553781182,72,0.9303994871989593,0.08260447921141141,2.2377564101497733,2.378684670941833,1.0668934140188049,0.8742560513624147,1.199027318463842,0.9547361109733761,2.0958813692616283,1.20822920376483,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2.1199624158986254,2.15774632789041,0.19465912038879732,-1.9012975572003112,0.12127092105273868,0.0,0,1,0.3280993717040556,1,1,1,1,0,-0.5397898718894251,0.49021288665230633,-0.5638048557174058,1,1,0,0,0,0,-0.7072548456289363,-0.2816737938792493,-0.41190693789671395,1.593312630752526,1.075521681200582,1.1154289472218744,1.218951652936543,1.2658070967136965,1.5015551409678172,1.7242271499884068,-0.7846054774174297,4.603034512839597,1.7053932087829782,1.1569769649349004,1.5690721542749826,1.3871343788945676,High,0
-0.22737717908284324,-0.31293391578141166,2.0436063783002805,-0.3547865629645731,0,0.9303994871989593,0.08260447921141141,2.2377564101497733,-0.8289074824600079,0.1022624123261794,0.255727597522842,-0.21858643747065648,0.2261788191358807,0.2956877689730617,1.20822920376483,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-0.6978520902493915,-0.6728250979034684,0.8211125772548131,1.0216994300044167,-0.9966551586071666,0.0,0,0,0.3280993717040556,1,1,1,0,0,2.3704474343552766,-1.3228660658195794,2.3525756351635545,1,1,0,1,0,0,0.5222534346119526,-0.2816737938792493,-0.41190693789671395,-0.4570053933815672,0.09442935993168917,0.044701782392672154,-0.24517054425973894,-0.0611197061976363,-0.7398670142488397,-0.4416548854687687,-0.7394050887233082,-0.3226364784538001,0.7388776196398535,0.22439460964845104,0.3803117388483706,-0.5561371449692946,Low,1
-0.22737717908284324,-0.31293391578141166,0.02224219129149193,-0.3547865629645731,0,2.756426564581233,0.08260447921141141,0.12086454679668665,2.378684670941833,1.2513910153522028,0.9924348090793519,1.412339999673971,1.0880927964640614,-0.6975224932551128,-0.8625063913611828,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2.1199624158986254,2.15774632789041,-1.68470125020925,-0.602187785109321,1.8584925591274168,0.0,1,0,0.048528672779712526,1,1,1,1,0,-0.08233403972572116,-0.41632658958363655,-0.12321349394255446,1,1,1,1,0,0,1.7517617148528415,-0.2816737938792493,0.8472365785203948,1.593312630752526,1.2631677133549617,1.3200067728785632,1.4392626016669492,1.5086906177593922,1.9164949584674935,-0.4416548854687687,1.9683703408771815,-0.3226364784538001,2.4533388912552905,1.1569769649349004,-0.8084486765782413,1.3871343788945676,High,0
-0.22737717908284324,-0.31293391578141166,0.02224219129149193,-0.3547865629645731,0,-0.2869518977225565,-1.7281099726614941,0.12086454679668665,-0.8289074824600079,-0.20882010105722865,0.05609213629221307,-0.21560036527063298,0.23027666885655354,-0.6975224932551128,-0.8625063913611828,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,-1.1412871099011057,-1.118267653857347,0.19465912038879732,-0.2774103420865735,-0.3081546524039233,0.0,1,0,0.3280993717040556,0,1,1,0,0,0.20899962032433417,0.6951696378013021,0.8881168134376599,1,1,0,0,0,0,-0.7072548456289363,-0.2816737938792493,-0.41190693789671395,-1.4821644054486138,-0.22196174156303528,-0.30088476269823966,-0.2420865063317893,-0.053656262087497145,-0.98808376403024,-0.4416548854687687,0.6130005996439823,-0.3226364784538001,-0.35810590528572267,-0.7081877456379982,-0.8084486765782413,-0.5561371449692946,Low,1
-0.22737717908284324,-0.31293391578141166,-3.4333027103334843,-0.3547865629645731,0,-1.5043032826440723,0.08260447921141141,-3.497985996175435,-1.8312800303980832,-1.776344156134216,-1.889657745599194,-1.671023897474892,-1.7856981255217912,-0.6975224932551128,-0.8625063913611828,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6978520902493915,-0.6728250979034684,0.8211125772548131,0.6969219869816691,-0.9239012391372362,0.0,0,0,0.048528672779712526,0,1,1,0,0,-1.5538789524040857,0.8528286771466835,-1.5405087417115206,0,0,0,0,0,0,-0.7072548456289363,-1.7847612637135986,-1.6710504543138227,-0.4570053933815672,-1.7698269172969803,-1.7446714811025983,-1.6591883389306834,-1.639812413879768,-0.6984975559519399,-0.4416548854687687,-0.8419771422942579,-0.3226364784538001,-1.1433991588357018,-1.6407701009244475,-0.8084486765782413,-1.5277729069012256,Low,1
-0.22737717908284324,-0.31293391578141166,0.02224219129149193,-0.3547865629645731,0,-0.2869518977225565,0.08260447921141141,0.12086454679668665,0.7748885942409126,-1.776344156134216,-1.889657745599194,-1.671023897474892,-1.7856981255217912,0.9164441828656708,1.20822920376483,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,-0.40124003697065286,-0.3748702109777971,0.8211125772548131,1.0216994300044167,-0.9931061869257065,0.0,0,0,-0.7901834239933168,0,1,1,0,0,-0.8075688955950079,0.8134139173103382,-0.8217119943173188,1,0,0,0,0,0,-0.7072548456289363,0.4698699410379254,0.8472365785203948,-0.4570053933815672,-1.7698269172969803,-1.7446714811025983,-1.6591883389306834,-1.639812413879768,-0.021505049441130877,-0.4416548854687687,-0.8419771422942579,-0.3226364784538001,-1.1433991588357018,-1.6407701009244475,1.5690721542749826,-1.5277729069012256,Low,1
